id,name,path
"1334134_6868418_2306532","Singer Computerized Sewing Machines","Arts Crafts & Sewing/Singer/Singer Computerized Sewing Machines"
"1334134_6868418_2797332","Singer Embroidery Machines","Arts Crafts & Sewing/Singer/Singer Embroidery Machines"
"1334134_6868418_9584570","Singer Heavy Duty Sewing Machines","Arts Crafts & Sewing/Singer/Singer Heavy Duty Sewing Machines"
"1334134_6868418_1329989","Singer Mechanical Sewing Machines","Arts Crafts & Sewing/Singer/Singer Mechanical Sewing Machines"
"1334134_6868418_8414666","Singer Presser Feet","Arts Crafts & Sewing/Singer/Singer Presser Feet"
"1334134_6868418_8658943","Singer Sergers","Arts Crafts & Sewing/Singer/Singer Sergers"
"1334134_6868418_1812624","Singer Sewing Machines","Arts Crafts & Sewing/Singer/Singer Sewing Machines"
"1334134_3359903","Sizzix","Arts Crafts & Sewing/Sizzix"
"1334134_3359903_3225905","Sizzix Die Cut Accessories","Arts Crafts & Sewing/Sizzix/Sizzix Die Cut Accessories"
"1334134_3359903_8377380","Sizzix Die Cut Machines","Arts Crafts & Sewing/Sizzix/Sizzix Die Cut Machines"
"1334134_5007258","Spinrite","Arts Crafts & Sewing/Spinrite"
"1334134_9798392","Summer Crafts","Arts Crafts & Sewing/Summer Crafts"
"1334134_9429373","The Pioneer Woman Fabric & Sewing","Arts Crafts & Sewing/The Pioneer Woman Fabric & Sewing"
"1334134_4098120","Valentine's Day Crafts","Arts Crafts & Sewing/Valentine's Day Crafts"
"1334134_5200571","Valentine's Day Crafts for Kids","Arts Crafts & Sewing/Valentine's Day Crafts for Kids"
"1334134_2197999","Waverly Inspirations","Arts Crafts & Sewing/Waverly Inspirations"
"1334134_7780827","Yarn","Arts Crafts & Sewing/Yarn"
"1334134_7780827_8833843","Acrylic Yarn","Arts Crafts & Sewing/Yarn/Acrylic Yarn"
"1334134_7780827_9963462","Bernat Yarn","Arts Crafts & Sewing/Yarn/Bernat Yarn"
"1334134_7780827_4418696","Caron Yarn","Arts Crafts & Sewing/Yarn/Caron Yarn"
"1334134_7780827_9978554","Chenille Yarn","Arts Crafts & Sewing/Yarn/Chenille Yarn"
"1334134_7780827_8903385","Chunky Yarn","Arts Crafts & Sewing/Yarn/Chunky Yarn"
"1334134_7780827_4376304","Cotton Yarn","Arts Crafts & Sewing/Yarn/Cotton Yarn"
"1334134_7780827_8705261","Crochet Yarn","Arts Crafts & Sewing/Yarn/Crochet Yarn"
"1334134_7780827_6819026","Knitting Yarn","Arts Crafts & Sewing/Yarn/Knitting Yarn"
